DAHA,rain,irr,drain,perc,seep,et,h
0,NA,NA,NA,NA,NA,NA,5
1,0,1.8,0,1.51,0,0.29,5
2,0,1.6,0,1.5,0,0.1,5
3,0,1.7,0,1.51,0,0.19,5
4,0,1.8,0,1.51,0,0.29,5
5,0,1.8,0,1.51,0,0.29,5
6,0,1.6,0,1.51,0,0.09,5
7,0,1.6,0,1.51,0,0.09,5
8,0,1.6,0,1.53,0,0.07,5
9,0,1.01,0,1.01,0,0,5
10,0,2,0,1.54,0,0.46,5
11,0,1.6,0,1.57,0,0.03,5
12,0,1.6,0,1.55,0,0.05,5
13,0,1.6,0,1.52,0,0.08,5
14,0,2,0,1.51,0,0.49,5
15,0,1.8,0,1.55,0,0.25,5
16,0,1.9,0,1.5,0,0.4,5
17,0,1.6,0,1.51,0,0.09,5
18,0,1.5,0,1.5,0,0,5
19,0,1.5,0,1.49,0,0.01,5
20,0,1.7,0,1.42,0,0.28,5
21,0,1.5,0,1.4,0,0.1,5
