DAHA,QUALIFIER,CONC.
0.125,=,0.483
1,=,0.12
2,=,0.084
3,=,0.036
5,=,0.01
7,=,0.004
8,=,0.002
10,<,0.001
14,<,0.001
21,<,0.001
