"","value","scale","L1","L2","Mean","Min","Max","N"
"alp",1,1,0.0549203434431361,0.0593627839115287,0.024491713099752,-0.105390534560859,0.0535056162219898,8
"Kd",30.5619106206679,30.5619106206679,0.546118179901075,0.585466893285126,-0.546118179901075,-0.83241765091364,-0.117724644151194,8
"ksorp",0.0279973904073073,0.0279973904073073,0.00153762623999065,0.00166200298681178,0.000685703996707288,-0.00295065994133518,0.00149801762635061,8
"f",1,1,0.690987022142092,0.725033112923906,-0.690987022142092,-0.83573597309609,-0.11433257978555,8
"kvol",0.000191324006603525,0.000191324006603525,0.00343665748861307,0.0038778505202142,-0.00343665748861307,-0.0062260029506061,-0.000476841471438024,8
"kbulk",0.123880193195841,0.123880193195841,0.111259916999536,0.12554330389198,-0.111259916999536,-0.201563466525556,-0.0154374793763898,8
"kbios",0.0364814305557866,0.0364814305557866,0.129446098072336,0.16523880355892,-0.129446098072336,-0.299611128694034,-1.37576767232015e-05,8
