"","Kd","ksorp","kbulk"
"mean",13.2059025967373,0.046003647928303,2.0140994679208
"sd",2.88064383480219,0.0377545907380668,0.247836081847108
"min",10.0001919011167,0.00562931017523975,1.34953785395147
"max",26.8042166438649,0.139859400345403,2.4774521244087
"q025",10.9106469708523,0.0144645942349068,1.82077689189987
"q050",12.4558370322795,0.03261224800816,2.01072965577483
"q075",14.7890767416691,0.0713397783980121,2.21731797057258
