"parameter","original"
"alp",0.0275808232880376
"Kd",0.194889205945385
"ksorp",0.0344694322495898
"f",0.102425388149736
"kvol",-0.0193626127205293
"kdiff",-0.00998029205549383
"kbulk",-0.908032779801374
"kbios",-0.0587924182950279
