Time,Hpw,dDL,Drain,Perc,Seep,Cpw,Csdl,ACsdl,TPMdiss,PmassPW,PmassDL,CMCdeg,CMpwdeg,CMsdldeg,CRFloss,CPERCloss,CSEEPloss,MBE,Fdiss,khyd,kbiow,kphot,kbulk
0,5,0,0,0.0629166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.0416666666666667,5,0.101478494623656,0,0.0629166666666667,0,0.77387815045421,1.61589993636324,0.163979093004603,101.608623509736,96.7347688067762,4.34662124289515,-0.527233460064788,-0.524470356452959,-0.00276310361182861,0,0,0,-1.60862350973612,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.0833333333333333,5,0.202956989247312,0,0.0629166666666667,0,0.730002643105215,1.73242411200557,0.351607581872097,101.611882668156,91.2503303881518,9.32012097716232,-1.04143130284186,-1.0255288053502,-0.0159024974916569,0,0,0,-1.61188266815601,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.125,5,0.304435483870968,0,0.0629166666666667,0,0.671937297519997,1.994199306745,0.607105030884062,101.615528746468,83.9921621899996,16.0926345886979,-1.53073196777081,-1.49243080505576,-0.038301162715047,0,0,0,-1.61552874646834,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.166666666666667,5,0.405913978494624,0,0.0629166666666667,0,0.604394011763169,2.23807436326156,0.908465668958322,101.619697371738,75.5492514703961,24.0808514230796,-1.9895944782623,-1.91728922688496,-0.0723052513773403,0,0,0,-1.619697371738,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.208333333333333,5,0.50739247311828,0,0.0629166666666667,0,0.532178521560001,2.43037275377191,1.23315284213561,101.624323111226,66.5223151950001,32.687388624675,-2.41461929155113,-2.29540805662923,-0.119211234921895,0,0,0,-1.62432311122624,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.25,5,0.608870967741935,0,0.0629166666666667,0,0.459689970067552,2.56288008191531,1.56046327568231,101.629294774404,57.4612462584439,41.3634610276083,-2.80458748835196,-2.62517656821192,-0.179410920140033,0,0,0,-1.62929477440424,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.291666666666667,5,0.710349462365591,0,0.0629166666666667,0,0.390554429558524,2.63710531165557,1.87326634033598,101.634492411258,48.8193036948155,49.6549841770148,-3.16020453942797,-2.90766902472505,-0.252535514702911,0,0,0,-1.63449241125827,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.333333333333333,5,0.811827956989247,0,0.0629166666666667,0,0.327418674739681,2.65942151467573,2.15899273503244,101.639802870597,40.9273343424601,57.2287815074382,-3.48368702069832,-3.14605282886072,-0.337634191837597,0,0,0,-1.63980287059656,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.375,5,0.913306451612903,0,0.0629166666666667,0,0.271903664556133,2.6386239296253,2.40987225830698,101.645127714119,33.9879580695167,63.8788869891283,-3.77828265547352,-3.34491340853061,-0.433369246942909,0,0,0,-1.64512771411853,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.416666666666667,5,1,0,0.0629166666666667,0,0.225073408036003,2.61339757270366,2.61339757270366,101.589940682145,28.1341760045004,69.2737665363563,-4.04684637906348,-3.50967976434005,-0.537166614723436,0,0.135151762225204,0,-1.58994068214539,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.458333333333333,5,1,0,0.0629166666666667,0,0.18875425509044,2.73261369607222,2.73261369607222,100.589739386236,23.594281886305,72.4338482567429,-4.28888705336057,-3.64663979521802,-0.642247258142551,0,0.272722189827313,0,-0.589739386235851,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.5,5,1,0,0.0629166666666667,0,0.16265997150155,2.8416970771977,2.8416970771977,100.589564286284,20.3324964376937,75.3253396838451,-4.51556065127125,-3.76302623228422,-0.752534418987032,0,0.416167513473512,0,-0.589564286283639,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.541666666666667,5,1,0,0.0629166666666667,0,0.143881106714279,2.91652858300669,2.91652858300669,100.589439004098,17.9851383392849,77.3089109234914,-4.73104417013829,-3.86462654505128,-0.86641762508701,0,0.564345571183655,0,-0.589439004098294,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.583333333333333,5,1,0,0.0629166666666667,0,0.130338856787556,2.96685513020722,2.96685513020722,100.58934938038,16.2923570984445,78.6429251269803,-4.93832279830716,-3.95557612940443,-0.982746668902729,0,0.715744356648514,0,-0.589349380380427,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.625,5,1,0,0.0629166666666667,0,0.120545250156129,2.9996533415345,2.9996533415345,100.589285280161,15.0681562695161,79.5123127999572,-5.13953399553418,-4.03883527285367,-1.1006987226805,0,0.869282215153077,0,-0.589285280160548,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
0.666666666666667,5,1,0,0.0629166666666667,0,0.113435222372169,3.01991691363867,3.01991691363867,100.589239449012,14.1794027965211,80.049442694696,-5.33620843018113,-4.11652314071726,-1.21968528946387,0,1.02418552761368,0,-0.589239449011911,0,0.00346573590279973,0.0990210257942779,0.0213934314987637,0.123880193195841
